BERTScore,BLEU-1-KPQA,ROUGE-L-KPQA,BERTScore-KPQA
0.5247802138328552,0.3096415848454238,0.3008359131586756,0.6160447597503662
0.8193223476409912,0.9461245037942781,0.9688184678377132,0.9772788286209106
0.5065342783927917,0.14823558210881901,0.2726350604088941,0.5201463103294373
0.6842670440673828,0.0013909349337703463,0.04823672130539877,0.5144404768943787
0.5730422735214233,0.4217817101788844,0.4438429426444157,0.6770496368408203
0.8497657179832458,0.5004198839338267,0.6175600569380487,0.8366730213165283
0.5475588440895081,0.21442544003738034,0.2282525314370754,0.5177993774414062
0.8295505046844482,0.9790801736084955,0.9301133100520156,0.9814919233322144
0.610667884349823,0.1876495227349399,0.25744713804647373,0.5493999719619751
0.8589348793029785,0.5737534116567525,0.9959947225226428,0.9483240842819214
