question,answer,reference1
yoos insurance agency,"yoos agency inc is in the insurance agents,brokers,and service industry in drexel hill,pennsylvania .","yoos agency incorporated specializes in contents, supplemental health, thefts & vandalism."
dimensions of average tub,"the dimensions of an average tub is 60 inches long,32 inches wide and 18 inches tall .","the standard size of a bathtub is 60 inches long, 32 inches wide and 18 inches tall."
how is fat broken down in your body,"during digestion,fats are broken down into fatty acids or cholesterol and absorbed into the bloodstream .",the hsl enzyme works to make fat cells leaner by breaking down triglycerides into fatty acids that then can leave the fat cell and be used as fuel by other cells.
how long is the contagious period for a cold,the contagious period for a cold is two weeks .,the peak of the common cold contagious period usually occurs between day 2 and day 4 of the cold.
human identity sociology definition,"the definition of human identity sociology is the systematic study of human society,especially present - day societies .","sociology is the scientific study of society, including patterns of social relationships, social interaction, and culture."
acetate definition,acetate is a salt or ester of acetic acid .,"acetate is a type of anion, salt, or ester derived from the compound acetic acid."
number of students at university of wyoming,"there are fewer than 13,000 students at the university of wyoming .","university of wyoming has a total undergraduate enrollment of 9,788."
types of plants that deter mosquitoes,marigolds are the types of plants that deter mosquitoes .,marigolds deter mosquitoes.
what are stupas used for,stupas are used to bury important kings away from the village .,stupas are used as shrines to the dead and into places to honor the living.
"what county is the preston, ct in ","preston is in new london county,connecticut .","preston is a town in new london county, connecticut, united states."
